2026-06-09 23:39:22 | DEBUG    | review.generation | Written: review.json
2026-06-09 23:39:22 | DEBUG    | review.generation | Written: claims.json
2026-06-09 23:39:22 | DEBUG    | review.generation | Written: findings.json
2026-06-09 23:39:22 | DEBUG    | review.generation | Written: scores.json
2026-06-09 23:39:22 | DEBUG    | review.generation | Written: audit_manifest.json
2026-06-09 23:39:22 | INFO     | review.generation | JSON artifacts written to review_outputs\test-run-001
2026-06-09 23:39:22 | INFO     | review.generation | Markdown written: review_outputs\test-run-001\review.md
2026-06-09 23:39:22 | INFO     | review.generation | HTML written: review_outputs\test-run-001\review.html
2026-06-10 14:01:42 | DEBUG    | review.generation | Written: review.json
2026-06-10 14:01:42 | DEBUG    | review.generation | Written: claims.json
2026-06-10 14:01:42 | DEBUG    | review.generation | Written: findings.json
2026-06-10 14:01:42 | DEBUG    | review.generation | Written: scores.json
2026-06-10 14:01:42 | DEBUG    | review.generation | Written: audit_manifest.json
2026-06-10 14:01:42 | INFO     | review.generation | JSON artifacts written to review_outputs\2026-05-29-china-private-equity-market_review
2026-06-10 14:01:42 | INFO     | review.generation | Markdown written: review_outputs\2026-05-29-china-private-equity-market_review\review.md
2026-06-10 14:01:42 | INFO     | review.generation | HTML written: review_outputs\2026-05-29-china-private-equity-market_review\review.html
